SatisfiesConds,Places,Transitions,Arcs,Variables,Conditions,Boundedness,LtsStates,LtsArcs,CgRefStates,CgRefArcs,DeadTransitions,Deadlocks,Soundness,VerificationTime,LtsTime,CgRefTime,Id
True,22,10,59,22,24,True,16,21,0,0,4,True,False,138,138,0,d72b77db-4960-48e9-8e27-2ac10870624c
True,13,9,41,15,4,False,18,17,0,0,2,False,False,89,89,0,94124d01-a186-4aba-ab7e-1f6a8956781e
True,11,22,57,10,15,False,21,20,0,0,9,False,False,103,103,0,cc431776-f635-4b9d-8e36-3bf6f0a7f19a
True,10,24,49,11,7,False,13,16,0,0,9,False,False,104,104,0,37c50ce5-f5a3-414d-86ed-758fbc4f357b
True,17,16,35,3,13,False,61,60,0,0,0,False,False,222,222,0,0642ac62-ce21-4feb-82e7-b53d75bc0652
True,3,21,48,9,7,False,12,21,0,0,9,False,False,116,116,0,b311c659-47b4-432e-8255-3e83186365c3
True,35,28,110,32,44,False,178,177,0,0,12,False,False,1512,1512,0,8a48e23e-f559-4488-b329-074b7b3ac852
True,39,30,102,17,9,True,18802,88007,0,0,7,True,False,839675,839675,0,3c422140-68b3-4012-9450-a9c5b5e6b188
True,26,43,101,11,39,False,263,269,0,0,14,False,False,1307,1307,0,38e4fec5-c75b-4bd9-ba48-e620d9ebe0b9
True,46,43,118,33,31,False,237,236,0,0,18,False,False,1078,1078,0,cca3c999-2bd1-4a73-a390-6b2fe3940e01
True,39,38,86,30,11,False,178,177,0,0,7,False,False,777,777,0,e2e2e41f-0ff9-4743-adc2-0f7b59d25d6c
True,41,32,128,13,25,False,200,199,0,0,7,False,False,931,931,0,7b09c06a-0f69-4da9-9a65-7a2cfa055f6b
True,38,36,105,21,15,False,261,260,0,0,8,False,False,801,801,0,5d4693cb-d4e0-428b-8a32-789997e05fc2
True,29,26,67,32,8,False,37,36,0,0,12,False,False,217,217,0,5af72576-32ef-408d-a4b3-82fa4bfe8f88
True,50,39,143,20,31,False,117,116,0,0,18,False,False,386,386,0,fe31378f-3d84-4eec-bc8f-07a66c1c8225
True,44,32,101,30,28,False,72,71,0,0,14,False,False,747,747,0,40c93ec1-78cf-49c6-85fd-f95ef73e078f
True,46,28,112,19,41,False,863,862,0,0,0,False,False,13728,13728,0,c4aa1de5-468d-4ee1-8f68-ecfb09c6e839
True,46,29,129,13,19,False,142,141,0,0,12,False,False,955,955,0,f267bef2-3931-4be7-9856-b4cb58327759
True,49,34,145,46,18,False,145,144,0,0,13,False,False,873,873,0,5ce9bfe8-4243-485f-818b-9b3f6a2183c9
True,46,35,128,12,40,False,380,379,0,0,10,False,False,2443,2443,0,ad468a42-44ce-4272-873a-215b3a5f4048
True,39,34,87,25,20,False,136,135,0,0,6,False,False,539,539,0,ff116aa3-7a66-41d1-b454-ab82e25c9ae8
True,46,44,116,11,9,False,353,352,0,0,15,False,False,1056,1056,0,f9cf9ff9-9f6b-4b43-9b4c-6cb0736fba82
True,31,50,125,46,32,False,87,86,0,0,24,False,False,543,543,0,2dbdc8fc-3403-418e-8867-a2eb60e85c0b
True,47,27,135,7,41,False,287,286,0,0,7,False,False,2243,2243,0,9b72380a-3aac-46cd-912d-be13d91b70fb
True,41,31,103,24,46,False,54,53,0,0,11,False,False,567,567,0,b4268098-3478-4727-81f5-de1493d4267c
True,31,26,75,45,40,True,1222,4163,0,0,11,True,False,37849,37849,0,76b28e95-f637-4250-a39b-0125da22e3fc
True,50,41,128,10,19,False,132,131,0,0,16,False,False,463,463,0,b2743c19-8c48-412b-9038-9f2e9a5cfbef
True,47,48,116,33,31,False,331,330,0,0,20,False,False,3199,3199,0,5762a8ac-8c83-4502-8ef0-e943c8b1eb4b
True,39,33,119,27,41,False,145,144,0,0,15,False,False,1117,1117,0,bdd25370-042c-478f-b11e-df68803167cd
True,47,26,107,25,33,False,80,79,0,0,5,False,False,1112,1112,0,9d20b42d-0aa8-45b7-9946-9996d148c096
True,40,29,109,19,18,False,105,104,0,0,13,False,False,775,775,0,063fa16b-a598-4215-bc72-348cd5d5e72d
True,39,28,110,13,18,False,73,72,0,0,12,False,False,283,283,0,c619041b-4a23-4afe-aa9e-aaeaf3a28432
True,37,38,105,30,50,False,228,227,0,0,16,False,False,2483,2483,0,bd7e1046-6a86-4427-8a46-43b19bdf8395
True,42,28,122,12,48,False,166,165,0,0,6,False,False,1651,1651,0,8af65e02-f4c5-4e59-9099-be3a3824a5a6
True,39,46,139,46,33,False,294,293,0,0,21,False,False,4044,4044,0,9344a553-ef48-4fea-a3ca-c5320b85b77f
True,44,34,96,11,32,False,64,63,0,0,12,False,False,368,368,0,3b3198a5-926c-439c-adbb-ed0339599133
True,50,49,137,37,12,False,413,412,0,0,17,False,False,3992,3992,0,2c6f10d2-a8f2-4c84-bfdb-7fda82959044
True,42,37,122,7,25,False,343,342,0,0,12,False,False,1982,1982,0,3be1dad0-14e7-4c66-b7ea-c6c6432547ef
True,35,40,95,15,30,False,194,193,0,0,17,False,False,1609,1609,0,ae6c30bc-aeee-4249-a917-6ed07b4ec6d6
True,35,36,89,14,15,False,304,303,0,0,16,False,False,1193,1193,0,9430085c-bfdd-4313-a599-223d7a8626c6
True,34,45,102,15,27,False,74,76,0,0,21,False,False,322,322,0,c664745e-e5cb-4bac-aa3b-62909209af54
True,42,43,109,41,23,False,195,194,0,0,20,False,False,2476,2476,0,96ca6a33-e315-43ab-b447-aa8b03360fbd
True,29,38,84,46,14,False,49,48,0,0,16,False,False,315,315,0,a71a7dc1-2864-4db9-b134-5bd6bbd70fdb
True,48,50,125,9,41,False,508,507,0,0,13,False,False,2515,2515,0,e78ecd1d-a692-4012-ba47-c5cc8c5ef017
True,28,34,97,27,35,False,80,79,0,0,14,False,False,582,582,0,721b30b0-724f-4ded-b278-905707dac5d9
True,50,36,123,7,33,False,334,333,0,0,11,False,False,2305,2305,0,8e6825b3-84c1-4155-a85e-9807cb18c1fb
True,41,32,117,15,47,False,154,153,0,0,14,False,False,1334,1334,0,777a1d57-d1ca-4fb8-a53c-642bdf65f88a
True,47,26,114,38,20,False,49,48,0,0,9,False,False,279,279,0,1dd86004-ee15-4b3f-ac16-855c0b72fdbb
True,32,28,73,32,37,False,200,199,0,0,9,False,False,2287,2287,0,bfcf5c60-b892-4916-a0da-4ca123f41948
True,44,32,106,48,14,False,57,56,0,0,11,False,False,421,421,0,9c016d8f-9812-44e8-acd7-473a7e9a9048
True,46,39,104,41,16,False,96,95,0,0,18,False,False,313,313,0,2fa6f1a9-e52c-4cc0-a3a3-a8fcbdf8b459
True,38,36,117,17,33,False,82,81,0,0,16,False,False,513,513,0,6da041b2-b535-4b15-b9f3-119bd60896b2
True,48,28,138,21,16,False,57,56,0,0,13,False,False,251,251,0,c62c6059-54a2-40d3-9796-03c42ef71b11
True,30,42,112,11,40,False,285,284,0,0,20,False,False,2595,2595,0,2bf7cc54-c396-4b2e-8a9b-f760ec5e2966
True,35,32,109,35,14,False,178,177,0,0,10,False,False,641,641,0,80c3a516-5308-4040-a504-3019e314b6b9
True,45,30,97,36,36,True,5043,14120,0,0,3,True,False,272271,272271,0,f1e1eaab-2f37-4b36-94d0-9aa3d219d9a9
True,32,39,116,41,31,False,67,66,0,0,16,False,False,632,632,0,a3d92715-3d84-4c69-9d2a-6eb33cc08b8c
True,28,35,84,37,30,False,61,62,0,0,15,False,False,479,479,0,de7ed41d-004b-48c3-a599-58a5227ede7b
True,50,29,119,12,36,False,192,191,0,0,8,False,False,1120,1120,0,73090d5c-afed-48d5-8fc7-30e78adf79e1
True,45,47,110,33,14,False,96,95,0,0,17,False,False,386,386,0,d0b67754-624d-4a8b-8d28-8cbf7bbad617
True,27,39,91,13,28,False,193,210,0,0,14,False,False,2265,2265,0,75e59c94-ecc6-4d94-a5b7-c45984e5a67f
True,48,32,127,47,30,True,458,1010,0,0,14,True,False,14291,14291,0,ad599c86-e88c-424f-b0cb-93fbe29e5eea
True,40,42,115,13,9,False,95,94,0,0,18,False,False,349,349,0,0d19ecc9-a40e-4f58-8aa5-7b5ff4abd7b5
True,39,31,103,32,46,False,275,274,0,0,7,False,False,5541,5541,0,c18b8919-1b93-44bc-85b2-e2011557097e
True,48,29,134,9,38,False,66,65,0,0,12,False,False,371,371,0,331c5a22-69e0-4eee-b1be-239f35ac430b
True,39,35,104,7,8,False,93,92,0,0,14,False,False,542,542,0,dc832d7c-3656-4e2a-bf74-8448d42a40e8
True,38,28,88,48,37,False,109,108,0,0,4,False,False,1316,1316,0,3ad6b0c0-c3e8-41c3-8948-7b153bf1a11c
True,39,46,108,8,35,False,233,232,0,0,22,False,False,1950,1950,0,2fabcf55-e269-4cf3-834a-efdc42dcc1bc
True,50,50,120,22,32,False,461,460,0,0,19,False,False,3122,3122,0,7d58daae-3425-4982-8c9a-f5ee4fe955d1
True,37,40,107,19,29,False,126,125,0,0,17,False,False,337,337,0,193926db-f130-4741-89fd-f5123882bb34
True,39,26,120,48,17,False,60,59,0,0,10,False,False,561,561,0,2c001322-6241-4497-8e00-89db66e66654
True,41,39,106,25,49,False,161,160,0,0,17,False,False,1651,1651,0,d76e76a5-3e80-44e3-82e0-402090075661
True,41,32,127,5,45,False,176,175,0,0,14,False,False,1351,1351,0,dd54d3e9-e2fd-496c-b36e-bfa49251ae3d
True,31,26,73,21,7,False,43,42,0,0,12,False,False,134,134,0,2484272f-c989-4825-88c6-33f89d9e897e
True,28,36,99,22,40,False,56,55,0,0,15,False,False,285,285,0,5cda7823-3c79-48b5-a413-994bfb6efa64
True,31,49,129,6,33,False,131,153,0,0,19,False,False,1434,1434,0,54fb77be-7731-46e1-a047-5a4b2915eba5
True,48,35,114,21,32,False,250,249,0,0,7,False,False,2536,2536,0,94354dde-3ece-4f93-bbd9-ad8b67dec9cb
True,32,46,110,23,42,False,191,190,0,0,11,False,False,1510,1510,0,5742a16c-83bd-4a28-b0ef-f0bed13c0806
True,31,32,94,42,41,False,91,90,0,0,14,False,False,1072,1072,0,cc54d33f-978a-4bb9-8181-d9666c20d50e
True,41,35,100,23,36,False,212,211,0,0,7,False,False,1681,1681,0,f43303ab-4175-47dc-84ba-bcb512654edf
True,46,45,110,30,25,False,206,205,0,0,10,False,False,1145,1145,0,6c4b81cd-ef6c-4894-86f8-5cab94e523eb
True,48,46,112,35,34,False,115,114,0,0,20,False,False,1156,1156,0,63c654d4-55da-442a-8ba5-1bf973a1b73a
True,50,44,122,39,25,False,193,192,0,0,20,False,False,1244,1244,0,d8c0f5da-9d25-43ff-8831-bcf556540ce2
True,49,45,107,8,35,False,242,241,0,0,8,False,False,854,854,0,62115649-44b5-4288-b2ed-61524ff944da
True,37,36,82,15,24,False,177,176,0,0,9,False,False,673,673,0,05b0f16d-20db-4748-a0cf-e8961b9d8cff
